id,famous_name,born_on,died_on,lived_in,nick_name
232,"Ka'b bin Jimaz(Himar) bin Tha'laba","","",Medinah,""
233,"Qatada ibn al-Nu'man","","~22 AH",Medinah,"Abu 'Abdullah, Abu 'Amr"
234,"'Utba bin Rabai'a bin Khalid","","",Medinah,""
235,"Ma'mar bin Harith bin Ma'mar","","~20 AH/646 CE",Makkah/Abyssinia/Medinah,""
236,"'Amr bin Iyyas bin Zayd","","",Medinah,""
237,"Salma ibn al-Akwa","","74 AH",Makkah/Medinah,"Abu Iyas,Abu 'Amir,Abu Muslim"
238,"Suhayl ibn 'Amr","","18 AH/640 CE",Makkah/Medinah,"Abu Yazid"
239,"Thabit bin Qays b. Shammas","","12 AH/634 CE",Medinah,"Abu Muhammad,Abu 'Abdur Rahman"
240,"'Ady bin Qays bin Hudhafa al-Sahmi","","",Makkah/Medina,""
241,"Umayma bint Ady bin Qays bin Hudhafa","","",Makkah/Medina,""
242,"Wahshy ibn Harb","","~30 AH/650 CE",Makkah/Medinah/Hims/Syria,"Abu Dasma, Abu Harb"
243,"Yasir ibn 'Amir","","~7 BH/615 CE",Makkah/Yemen,""
244,"Zaynab bint Abi Salamah","","73 AH",Abyssinia/Medina,""
245,"Salamah bin Abi Salamah","","",Makkah/Medina/kufah,""
246,"'Umar bin Abi Salamah","","83 AH/701 CE",Makkah/Medina/Fars/Bahrian,"Abu Hafs"
247,"Durrah bintt Abi Salamah","","",Makkah/Medina/Abyssinia,""
248,"Duba'a bint Az-Zubair","","",Makkah/Medina,""
249,"Umm al-Hakam bint Az-Zubair","","",Makkah/Medina,""
250,"Safiyya bint Az-Zubair","","",Makkah/Medina,"Umm Hakim"
251,"'Itban bin Malik bin 'Amr","","~50 AH",Medinah,""
252,"Layla bint Ri'ab bin Hunayf","","",Medinah,""
253,"'Asma bin Ri'ab bin Hunayf","","12 AH/634 CE",Medinah,""
254,"Thabit bin Hazzal","","12 AH/634 CE",Medinah,""
255,"'Amra bint Hazzal","","",Medinah,""
256,"Abaan bin Sa'id ibn al-'As","","13 AH/635 CE",Makkah/Medinah,"Abu al-Walid"
257,"Umm az-Zubayr bint Az-Zubair","","",Makkah/Medina,""
258,"Rabi' bin Iyas b. 'Amr","","",Medinah,""
259,"Abd' bin Jahsh","","~20 AH",Makkah/Medina,"Abu Ahmad"
260,"Wazfah/Waraqa bin Iyas b. 'Amr","","12 AH/634 CE",Medinah,""
261,"'Aatika bint 'Abd al-Muttalib","","",Makkah/Medina,""
262,"al-Mujadhar bin Ziyad b. 'Amr","","3 AH/625 CE",Medinah,""
263,"'Ubada bin al-Hashas b. 'Amr","","3 AH/625 CE",Medinah,""
264,"Bahhath bin Tha'laba bin Hazama","","",Medinah,""
265,"'Abdullah bin Tha'laba bin Hazama","","",Medinah,""
266,"Yazid bin Tha'laba bin Hazama","","",Medinah,""
267,"Abu Fakih, Aflah bin Yasar","","",Makkah/Abyssina/Medinah,"Abu Fakih"
268,Aflah,"","",Makkah/Medinah,"Abu al-Ja'd"
269,Aflah,"","",Makkah/Medinah,""
270,"Aflah Client of Umm Salamah","","",Makkah/Medinah,""
271,"Kharija ibn Zayd","","3 AH/625 CE",Medina,"Abu Zayd"
272,"'Amra bint Rawaha","","",Medinah,""
273,"Simak ibn Sa'd","","",Medina,""
274,"al-Nu'man bin Bashir ibn Sa'd","1 AH/623 CE","65 AH/685 CE",Medina/Syria/Kufa,"Abu 'Abdullah"
275,"Umayya or Ubayya bint Bashir ibn Sa'd","","",Medina,""
276,"Khallad ibn Suwayd b. Tha'laba","","5 AH/627 CE",Medina,""
277,"al-Saib bin Khallad bin Suwayd","","~71 AH",Medina/Yemen,"Abu Sahla"
278,"Mandwas bint Khallad bin Suwayd","","",Medina/Yemen,""
279,"Unaysa or Nufaysa bint Qays","","",Medina/Yemen,""
280,"Subay' bin Qays bin 'Aysha","","",Medina,""
281,"'Abbad bin Qays bin 'Aysha","","8 AH/629 CE",Medina,""
282,"Yazid bin al-Harith ibn Qays","","2 AH/624 CE",Medina,"ibn Fushum"
283,"Hurayth bin Zayd","","",Medinah,""
284,"Sufyan bin Nasr bin 'Amr","","",Medinah,""
285,"Khubayb bin Isaf","","~30 AH/650 CE",Medinah,""
286,"Jamila bint 'Abdullah ibn Ubayy","","",Medina,""
287,"Zaynab bint Qays b. Shammas","","",Medinah,""
288,"Unaysa bint Khubayb bin Isaf","","",Medinah/Basra,""
289,"Umm Thabit bint Qays b. Shammas","","",Medinah,""
290,"Kabsha bint Waqid bin 'Amr","","",Medinah,"Umm 'Abdullah"
291,"Muhammad bin Thabit ibn Qays b. Shammas","","63 AH/683 CE",Medinah,"Abu Muhammad,Abu 'Abdur Rahman"
292,"Zaynab bint Thabit ibn Qays b. Shammas","","",Medinah,""
293,"'Abdullah bin Thabit ibn Qays b. Shammas","","63 AH/683 CE",Medinah,""
294,"'Abdur Rahman bin Thabit ibn Qays","","",Medinah,""
295,"Yahya bin Thabit ibn Qays","","63 AH/683 CE",Medinah,""
296,"Qurayba bint Zayd","","",Medinah,""
297,"Tamim bin Ya'ar bin Qays","","",Medina,""
298,"Yazid/Zayd bin al-Muzayyan bin Qays","","",Medina,""
299,"'Abdullah bin 'Umair","","",Medina,""
300,"'Abdullah bin 'Urfuta bin 'Adi","","",Medina,""
301,"'Abdullah bin 'Abdullah ibn Ubayy","","12 AH/634 CE",Medina,""
302,"Mulayka bint 'Abdullah ibn Ubayy","","",Medina,""
