id,famous_name,born_on,died_on,lived_in,nick_name
25253,"Muhammad bin Anas","","","Kufa,Daynur","Abu Anas"
25255,"Muhammad bin Bashr bin Bashyr","","",al-Kufa,""
25257,"Muhammad bin Jabir bin Syar","","after  170 AH","al-Yamama,Kufa","Abu Hatm"
25259,"Muhammad bin al-Hasan bin Atyh","","",al-Kufa,"Abu Sa'd"
25260,"Muhammad bin al-Hasan bin Abi Yazid","","","Hamadan,al-Kufa,Wasit","Abu al-Hasan"
25262,"Muhammad bin Rabi'ya al-Klaby","","after  190 AH",al-Kufa,""
25264,"Muhammad bin Ziyad al-Yshkry","","","al-Raqqa,al-Kufa",""
25265,"Muhammad bin Sulaiman","","181 AH","al-Kufa,Asbahan","Abu 'Ali"
25270,"Muhammad bin 'Abdul Rahman","","",al-Kufa,""
25271,"Muhammad bin 'Abdul Wahab al-Qanad","","212 AH or before",al-Kufa,"Abu Yahya"
25272,"Muhammad bin al-Frat al-Tmymy","","",al-Kufa,"Abu 'Ali"
25273,"Muhammad bin al-Fadl bin Atyh","","180 AH",al-Kufa,""
25275,"Muhammad bin al-Qasim al-Asadi","","207 AH","al-Kufa,Syria","Abu al-Qasim/Ibrahim"
25276,"Muhammad bin al-Qasim al-'Asady","","",Kufa,""
25277,"Muhammad bin Qdamh","","",Kufa,""
25279,"Muhammad bin Kathir al-Quraishi","","",al-Kufa,"Abu Ishaq"
25280,"Muhammad bin Mjyb","","","al-Kufa,Baghdad",""
25281,"Muhammad bin Mrh al-Quraishi al-Kwfy","","",al-Kufa,""
25282,"Muhammad bin Mrwan al-Dhhly","","",al-Kufa,"Abu Ja'far"
25283,"Muhammad bin Mrwan","","",Kufa,""
25284,"Muhammad bin al-Mu'ala bin 'Abdull Karim","","","Hamadan,al-Kufa,al-Ray",""
25285,"Muhammad bin Maqatil al-Hilali","","",al-Kufa,""
25286,"Muhammad bin Mhajr al-Quraishi","","",al-Kufa,""
25287,"Muhammad bin Maymun al-Z'frany","","",al-Kufa,"Abu al-Ndr"
25288,"Muhammad bin Y'la","","after  200 AH",al-Kufa,"Abu Lyly"
25291,"Mbshr bin 'Ubaid","","","al-Hims,Kufa","Abu Hafs"
25293,"Mhbwb bin Mhrz al-Tmymy","","",al-Kufa,"Abu Mhrz"
25294,"Mukhtar bin Ghsan","","",al-Kufa,""
25295,"Mkhld bin Khdash Abu","","",Kufa,"Abu Khdash"
25296,"Mazahim bin Zufar al-Taymi","","",al-Kufa,"Abu Khuzayma"
25299,"Mas'ud bin Sa'd al-Ja'fi","","",al-Kufa,"Abu Sa'd"
25300,"Ms'hr bin 'Abdul Malik","","","Hamadan,al-Kufa",""
25301,"Mashm'al bin Milhan al-Tai'i","","","al-Kufa,Baghdad",""
25302,"Mus'ab bin Salam","","","al-Kufa,Baghdad",""
25304,"al-Mtlb bin Ziyad bin Aby","","185 AH",al-Kufa,""
25305,"Mty' bin 'Abdullah","","",al-Kufa,"Abu 'Abdullah"
25306,"Mua'wiya bin Salmah","","","al-Kufa,Damascus","Abu Salmah"
25308,"Ma'la bin Hilal bin Mu'ayd (Suwayd)","","",al-Kufa,"Abu 'Abdullah"
25310,"al-Mfdl bin Salah al-'Asady","","",al-Kufa,""
25311,"al-Mafadal bin 'Abdullah","","",al-Kufa,""
25313,"al-Mfdl bin Yonus al-J'fy Abu","","178 AH",al-Kufa,"Abu Yonus"
25314,"Mandal bin 'Ali al-'Anzi","103 AH","168 AH",al-Kufa,"Abu 'Abdullah"
25315,"Mnswr bin Wrdan al-'Asady","","",al-Kufa,""
25316,"al-Mnhal bin Khlyfh","","",al-Kufa,"Abu Qdamh"
25317,"Musa bin 'Umayr al-Tmymy","","",al-Kufa,""
25318,"Musa bin 'Umayr al-Quraishi","","",al-Kufa,"Abu Hatm"
25320,"Musa bin Krdm","","",Kufa,""
25321,"Musa(Saghir) bin Muslim al-Tahan","","",al-Kufa,"Abu 'Isa"
25322,"Maysara bin Habib al-Nahdi","","",al-Kufa,"Abu Hazam"
25323,"Njd'h bin al-Mbark al-Slmy","","",al-Kufa,""
25325,"al-Nadr bin Isma'il bin Hazm","","182 AH",al-Kufa,"Abu al-Mughira"
25326,"al-Nadr bin Hmad al-Fzary","","",al-Kufa,"Abu 'Abdullah"
25327,"al-Nadr bin Zrarh bin Abd","","","al-Kufa,Bulkh","Abu al-Hasan"
25328,"al-Nadr bin 'Abdullah al-Azdi","","","al-Kufa,Asbahan","Abu Ghalb"
25329,"al-Nadr bin Mnswr","","",al-Kufa,"Abu 'Abdur Rahman"
25330,"N'ym bin Mysrh","","174 AH","al-Kufa,al-Ray","Abu 'Umar"
25331,"Nhshl bin Mjm' al-Dby","","",al-Kufa,""
25332,"Nwh bin Draj al-Nkh'y","","182 AH",al-Kufa,"Abu Muhammad"
25334,"Harun bin Salman","","",al-Kufa,"Abu Musa"
25336,"Hilal bin Salman al-Hmdany","","","Hamadan,al-Kufa","Abu Mhlm"
25338,"al-Walid bin Bkyr","","",al-Kufa,"Abu Jnab"
25339,"al-Walid bin 'Abdullah","","172 AH","Hamadan,al-Kufa",""
25340,"al-Walid bin 'Uqba bin al-Mughira","","",al-Kufa,"Abu al-Hasan, Abu 'Abdullah"
25341,"al-Walid binal-Qasim bin al-Walid","","183 AH","Hamadan,al-Kufa",""
25342,"Wahb bin Isma'il bin Muhammad","","",al-Kufa,"Abu Muhammad"
25343,"Yasyn bin Shyban","","",al-Kufa,""
25345,"Yahya bin Ayoub bin Abi Zara' al-Bajli","","",al-Kufa,""
25347,"Yahya bin Habib bin Isma'il","","",al-Kufa,"Abu Aqyl"
25349,"Yahya bin Ziyad bin 'Abdullah al-Fara'","","207 AH","al-Kufa,Baghdad","Abu Zakariyya"
25351,"Yahya bin Salmah bin Kahayl","","179 AH or before",al-Kufa,"Abu Ja'far"
25353,"Yahya bin 'Abdur Rahman","","",al-Kufa,""
25357,"Yahya bin al-Walid bin al-Masayr","","",Kufa,"Abu al-Za'ra'"
25360,"Yahya bin Y'la al-'Aslmy","","",al-Kufa,""
25362,"Yazid bin Ziyad bin Aby","","",al-Kufa,""
25363,"Yazid bin 'Abdullah","","",al-Kufa,"Abu 'Abdullah"
25365,"Yazid bin Mau'wiya al-Kufi","","",al-Kufa,"Abu Shayba"
25368,"Yusuf bin al-Zubair","","",al-Kufa,""
25369,"Yusuf bin Atyh al-Bahly","","",al-Kufa,"Abu al-Mndhr"
25372,"Abu Ishaq al-'Ashj'y al-Kwfy","","",al-Kufa,"Abu Ishaq"
25377,"Abu Na'eem al-Nakha'i (Older)","","",al-Kufa,"Abu Na'eem"
25378,"Abu Hnd al-Hmdany","","","Hamadan,al-Kufa","Abu Hnd"
25500,"Ibrahim bin 'Uqba bin Tlq","","",Yemen,""
25501,"Ibrahim bin 'Uqba bin Aby","","","Medina,al-Medina",""
25502,"Isma'il bin 'Amr bin Shrhbyl","","",Medina,""
25503,"Isma'il bin 'Abdullah bin Aby","","","",""
25504,"Ishaq Mwla al-Mughira bin Nawful","","","",""
25505,"Ishaq bin 'Uthman Msry","","","",""
25506,"Ayoub bin 'Abdur Rahman Shykh","","0 AH","",""
25507,"Iyas bin Qtad'h al-'Abbashmy bin Akht","","71 AH","al-Basra,al-Ray",""
25508,"al-'Aswad bin 'Abdur Rahman al-Dwa","","","",""
25509,"Aws bin 'Abdullah al-Slwly","","",al-Basra,""
25510,"Anas bin Abi Aans (Malik)","","",Medina,""
25511,"Bashr bin 'Abdullah bin Aba","","",Medina,""
25512,"Bashyr bin Mhrr Shykh","","","",""
25513,"Bqyh bin Sh'ban al-Zhrany","","","al-Basra,al-Basra",""
25514,"Thabit bin S'aid Wqd Qyl","","","",""
25515,"Thabit bin al-Hjaj bin Jmy'","","","",""
25516,"Jryr bin 'Abdullah Shykh","","",al-Basra,""
25517,"Jhdm bin 'Abdur Rahman al-Tyma","","","",""
25518,"Habib bin 'Amr","","","",""
25519,"Hameed bin Naf'","","",Medina,""
25520,"Hameed bin al-'Aswad Abu al-'Aswad","","",al-Basra,"Abu al-'Aswad(أبو الأسود)"
25521,"Hameed Abu 'Abdullah al-Bdy","","","","Abu 'Abdullah(أبو عبد الله)"
25522,"Hafs bin Sulaiman al-Azdi","","","",""
25523,"Husayn bin Mhsn","","","",""
25524,"Hkym bin Hkym al-Athrm","","",al-Basra,""
25525,"Hmad bin Ja'far","","","",""
25526,"Hrb bin Abi Hrb","","","",""
25527,"Hkam bin Slm al-Razy","","","",""
25528,"Khalid bin Salmah al-F'afa'a al-Mkhzwmy","","","",""
25529,"Khalid bin 'Ubaid al-Ma'fari","","","",""
25530,"Khlad al-Sfar","","",Kufa,"Abu Muslim(أبو مسلم)"
25531,"Kharjh bin 'Abdullah al-'Asady","","","",""
25532,"al-Rabi'y bin Ziyad al-Mharby","","",al-Kufa,""
25533,"al-Rabi'y bin Ziyad al-Dby Abu","","",Kufa,"Abu 'Amr(أبو عمرو)"
25534,"al-Rabi'y bin 'Abdullah","","","",""
25535,"al-Rabi'y bin Anas","","","",""
25536,"Rashid bin S'ad Abu Sa'd","","","","Abu Sa'd(أبو سعد)"
25537,"Zayd bin al-Hbab","","","",""
25538,"Ziyad bin Khythmh al-J'fy","","",Kufa,""
25539,"Ziyad bin 'Abdur Rahman","","","",""
25540,"Ziyad bin Muslim","","",Medina,""
25541,"S'aid bin Hryth","","","",""
25542,"S'aid bin Hkym al-Qaysy Abu","","","","Abu Zayd(أبو زيد)"
25543,"S'aid bin Abi Ayoub","","210 AH","Egypt,Medina,Egypt",""
25544,"S'aid bin al-Mhlb bin Aba","","","",""
25545,"S'aid bin Nmran","","",al-Syria,""
25546,"S'aid bin Yusuf","","","",""
25547,"Sulaiman bin Mysrh al-Ahmsy","","",Kufa,""
25548,"Sulaiman bin Abi Hathama al-Madni","","",Medina,""
25549,"Salmah bin Yazid","","","",""
25550,"Salm bin 'Ubaidullah Abu","","158 AH",al-Raqqa,"Abu Al-Mhajr(أبو المهاجر)"
25551,"Salm al-Mka Mwla Akashh","","",Makkah,""
25552,"Slym bin al-Akhdr","","180 AH",al-Basra,""
25553,"S'hyl bin 'Amr al-Quraishi","","","",""
25554,"Slm bin Ibrahim al-Wraq","","","",""
25555,"Syar bin 'Abdullah Shamy","","","Syria,al-Basra",""
25556,"Sqr bin Habib al-Ghnwy","","","",""
25557,"Shdad bin 'Abdur Rahman","","","",""
25558,"Shryh bin Ubaid Shamy","","",Syria,""
25559,"Salah bin Jblh","","","",""
25560,"Salah bin Ajlan","","","",""
25561,"Salah bin Muslim al-Jly","","","",""
25562,"Salah bin Ziyad Abu Muhammad","","",Basra,"Abu Muhammad(أبو محمد)"
25563,"al-Slt bin al-Hjaj","","",al-Hims,""
25564,"al-Sbah bin 'Abdur Rahman al-Tyma","","","",""
25565,"Sabi bin Ash'ath bin Salm","","",Kufa,""
25566,"Talha bin Zayd","","","",""
25567,"al-Tfyl bin Abi al-Tfyl","","","",""
25568,"'Abdullah bin Qrt Shamy","","",Syria,""
25569,"'Abdullah bin 'Abdul 'Aziz","","162 AH",Medina,"Abu Muhammad(أبو محمد)"
25570,"'Abdullah bin Abi Salmah","","","",""
25571,"'Abdullah bin Abi Salmah","","","",""
25572,"'Abdullah bin al-Sa'ib al-Shybany","","","",""
25573,"'Abdullah bin Ma'ql bin Mnbh","","","Yemen,Sana'",""
25574,"'Abdullah bin 'Uqba al-Hnzly","","","",""
25575,"'Abdullah bin Abi Yahya","","152 AH",Medina,""
25576,"'Abdullah bin al-Qasim Shykh","","","",""
25577,"'Abdullah bin 'Amr bin al-Harith","","","",""
25578,"'Abdullah bin al-N'uman Abu","","","","Abu Muhammad(أبو محمد)"
25579,"'Abdur Rahman bin Malik bin Ykhamr","","",al-Syria,""
25580,"'Abdur Rahman bin al-N'uman al-Madni","","","Medina,Medina",""
25581,"'Abdur Rahman bin al-N'uman","","",Medina,""
25582,"'Abdur Rahman bin al-Zubair","","","Sana'",""
25583,"'Abdur Rahman bin Ibrahim bin Muhammad","","","",""
25584,"'Abdur Rahman bin Frwkh Wqd","","","",""
25585,"'Abdur Rahman bin al-Mughira","","",Medina,""
25586,"Ubaid al-Rhmn bin Fdalh Akhw","","","",""
25587,"'Abdul Malik bin Ubaid bin Sa'id","","",Medina,""
25588,"'Abdul Malik bin Y'la al-Lythy","","",al-Basra,""
25589,"'Abdul Malik bin Mysrh al-Mka","","",Makkah,""
25590,"'Abdul Hameed bin Krdyd","","0 AH",Asbahan,""
25591,"Abd al-Wahd bin Abd al-Wahd","","",Syria,""
25592,"Abd al-Rhym bin Sulaiman","","",Kufa,""
25593,"Abd al-Jlyl bin Hameed al-Flstyny","","","",""
25594,"Abd al-Hakam bin 'Abdullah","","","",""
25595,"Abd al-Kbyr bin Dinar","","after  196 AH",Merv,""
25596,"Abd Rb bin Drhm","","","",""
25597,"'Ubaidullah bin al-Hasan al-Nbry","","0 AH",al-Basra,""
25598,"Abd Rbh bin S'aid Mwla","","","",""
25599,"Ubaid bin S'aid al-Amwy Akhw","","","",""
25600,"Ubaid bin Yahya","","",Medina,""
25601,"'Umar bin Isma'il al-A'ma al-Ansari","","",Medina,""
25602,"'Umar bin N'ym","","",al-Syria,""
25603,"'Umar bin Abd al-Wahd Shykh","","","",""
25604,"'Umar bin Mus'ab Akhw Kharjh","","","",""
25605,"'Uthman bin 'Abdur Rahman","","160 AH",Medina,"Abu 'Abdullah(أبو عبد الله)"
25606,"'Uthman bin Za'id'h Shykh","","","",""
25607,"'Uthman bin Rabi'yah bin Aba","","",Medina,""
25608,"Ala bin Tlq","","","",""
25609,"'Amr bin Iyas","","","",""
25610,"'Amr bin Hurayth bin 'Umara","","",Medina,""
25611,"'Isa bin Sylan","","",Medina,""
25612,"'Isa bin Htan","","","",""
25613,"'Isa bin Ala","","",Medina,""
25614,"'Isa bin 'Uthman","","",Bahrain,""
25615,"'Imran bin Yazid","","","",""
25616,"'Imran bin 'Abdur Rahman bin al-Harith","","",Makkah,""
25617,"'Uqba bin Muslim al-Tjyby Msra","","","",""
25618,"'Amir bin Mus'ab","","","",""
25620,"'Asim bin 'Abdullah","","","",""
25621,"Amarh bin Thwban","","","",""
25622,"al-'Ala' bin Salah","","","",""
25623,"'Umayr bin Han'i","","",al-Syria,""
25624,"'Abbas bin al-Hasan al-Khdrma","","","",""
25625,"'Urwa bin 'Abdullah bin K'ab","","",Medina,""
25626,"'Urwa bin 'Abdullah","","","",""
25627,"'Alqama bin Abi 'Alqama","","0 AH",Medina,""
25628,"Aqyl bin Shbyb","","",Damascus,""
25629,"Atab bin 'Abdul 'Aziz","","","",""
25630,"Akashh bin al-Jrah bin al-Mndhr","","","",""
25631,"Ghadrh bin 'Urwa al-Fqymy","","",al-Basra,""
25632,"al-Fadl bin Suwayd","","","",""
25633,"Frat bin Abi al-Frat al-Quraishi","","",Syria,""
25634,"Frqd Abu Wasl","","","","Abu Wasl(أبو واصل)"
25635,"Frqd Abu al-Rabi'y","","","","Abu Al-Rabi'(أبو الربيع)"
25636,"al-Qasim bin 'Ubaidullah al-'Asady","","","",""
25637,"Qnan bin 'Utba","","",Bulkh,""
25638,"Kathir bin Qays","","",al-Basra,""
25639,"Klyb bin Wa'il","","","",""
25640,"Muhammad bin 'Abdullah bin 'Ubaid","","",Kufa,""
25641,"Muhammad bin Thman","","","",""
25642,"Muhammad bin Ma'dan","","",al-Basra,""
25643,"Muhammad bin Nwh","","","",""
25644,"Muslim Abu Sadq al-Azdy","","",Kufa,"Abu Sadq(أبو صادق)"
25645,"Muslim bin Ata'a Abu Atab","","","","Abu Atab(أبو عتاب)"
25646,"Muslim bin 'Abdullah bin Awn","","","",""
25647,"Musa bin Da'ud Abu Hatm","","","","Abu Hatm(أبو حاتم)"
25648,"Mughira bin 'Abdur Rahman","","",al-Syria,""
25649,"Mughira bin Muslim Abu Muhammad","","","","Abu Muhammad(أبو محمد)"
25650,"Mua'wiya bin 'Abdur Rahman","","","",""
25651,"Mua'dh bin Muhammad bin 'Amr","","154 AH",Medina,""
25652,"Ma'mr bin Abi al-Hasan al-Wasty","","",al-Wasit,""
25653,"Ma'la bin Ziyad","","","",""
25654,"Mswr bin Khalid bin Abd","","",Medina,""
25655,"Mrthd bin Abi Mrthd","","","",""
25656,"Mswr bin 'Abdur Rahman","","","",""
25657,"Mny' bin 'Abdullah","","","",""
25658,"Mshmrj bin Hmran","","","",""
25659,"Mhnd bin 'Ali al-Tky","","","",""
25660,"Nashrh bin 'Abdullah al-Darmy","","","","Abu Jryr(أبو جرير)"
25661,"al-Nmr bin Hilal","","",al-Basra,""
25662,"Nbyt bin Shryt","","","",""
25663,"al-Walid bin 'Aabad al-Azdy","","","",""
25664,"al-Walid bin 'Amr bin Msaf'","","","",""
25665,"al-Walid bin Hisham bin Qhdhm","","220 AH",al-Basra,"Abu 'Abdur Rahman(أبو عبد الرح"
25666,"Wahub bin Manws","","","Yemen,al-Basra",""
25667,"Hisham Abu Yahya","","","","Abu Yahya(أبو يحيى)"
25668,"Harun bin 'Abdullah al-Zndana","","","",""
25669,"Hashim bin Abi Hryrh al-Hmsy","","",al-Hims,""
25670,"Hashaym bin Abi Saasan","","","Kufa,Bulkh","Abu 'Ali(أبو علي)"
25671,"Yazid bin 'Abdul 'Aziz al-Tnwkhy","","0 AH",Damascus,""
25672,"Yazid bin Umayya","","","","Abu Tmylh(أبو تميلة)"
25673,"Yusuf bin Asbat Abu Y'aqub","","195 AH","Antioch,al-Syria","Abu Y'aqub(أبو يعقوب)"
25674,"Yusuf bin Ziyad al-Wdhy","","","",""
25675,"Yunus bin Muslim","","",al-Hims,""
25676,"Abu Dhr al-Sb'ay","","",Yemen,"Abu Dhr(أبو ذر)"
25677,"Abu Dmrh al-Qas","","","","Abu Dmrh(أبو ضمرة)"
25678,"Abu Tarq al-Sraj","","","","Abu Tarq(أبو طارق)"
25679,"Abu Fitimah","","","","Abu Fatima(أبو فاطمة)"
25680,"Abu Mtr","","","","Abu Mtr(أبو مطر)"
25681,"Abu 'Abdul Samad","","",Medina,"Abu Abd Al-Smd(أبو عبد الصمد)"
25682,"Muhammad bin Khalid bin Salma","","",Medina,""
25685,"Isma'il bin Abi Isma'il Akhw","","","",""
25686,"Ayoub bin Salah","","","",""
25687,"Bakar bin 'Abdullah bin Shahab","","","",""
25688,"Zayd bin 'Abdullah bin Aby","","","",""
25689,"Sahl bin Abi Sahl","","","",""
25690,"'Abdullah bin Ala al-Azrq","","","",""
25691,"'Umar bin Abi Layla","","",Makkah,""
25692,"'Utba bin Abi 'Utba","","","",""
25693,"Muhammad bin Abi Sahl","","","",""
25694,"Muhammad bin Sa'dan bin Hyan","","","",""
25695,"Mua'wiya bin 'Abdur Rahman al-Rhby","","","",""
25696,"Mstqym bin 'Abdul Malik Shykh","","","",""
25697,"Wdah bin Abd al-Mjyd al-Bhrany","","","",""
25698,"Yahya bin Atyh bin al-Harith","","","",""
26000,"Ishaq bin Asyd Balfth","","","Khurasan,Egypt","Abu Muhammad"
26001,"Ishaq bin al-Frat bin al-J'd","","204 AH",Egypt,"Abu N'ym"
26002,"Bashyr bin Abi 'Amr","","",Egypt,""
26005,"Habib bin Abi Habib al-Masri","","~218 AH",Egypt,"Abu Muhammad"
26006,"Hjaj bin Shdad al-Sn'any","","","Sana',Egypt",""
26008,"Hsan bin 'Abdullah","","",Egypt,""
26009,"Hakeem bin Sharik al-Hadhli","","",Egypt,""
26010,"Haywat bin Sharih bin Safwan","","~159 AH",Egypt,"Abu Zara'"
26011,"Khlad bin Sulaiman al-Hdrmy","","178 AH",Egypt,"Abu Sulaiman"
26012,"Rashidayn bin Sa'd al-Mahri al-Qayni","","188 AH",Egypt,"Abu al-Hajjaj"
26013,"Salm bin Ghylan al-Tjyby al-Msry","","153 AH",Egypt,""
26015,"Sa'id bin 'Abdur Rahman","","",Egypt,""
26016,"Salmah bin al-'Ayyar","","","Damascus,Egypt","Abu Muslim"
26017,"Dmam bin Isma'il bin Malik","","185 AH",Egypt,"Abu Isma'il"
26018,"'Abdullah bin Suwayd","","102 AH",Egypt,"Abu Sulaiman"
26020,"'Abdullah bin Kulayb al-Muradi","","193 AH",Basra,"Abu 'Abdul Malik"
26022,"'Abdullah bin al-Msyb","","170 AH",Egypt,"Abu al-Swar"
26024,"Abd al-Jlyl bin Hameed al-Yhsby","","148 AH",Egypt,"Abu Malik"
26027,"'Abdur Rahman bin 'Abdul Hameed bin Salm","","192 AH",Egypt,"Abu Raja'"
26029,"'Uthman bin al-Hakam al-Jdhamy","","163 AH","Egypt,Egypt",""
26032,"'Umayrh bin Abi Najyh","","153 AH or before",Egypt,"Abu Yahya"
26033,"Ayash bin 'Uqba bin Klyb","","160 AH",Egypt,"Abu 'Uqba"
26034,"Qbath bin Rzyn bin Hameed","","156 AH",Egypt,"Abu Hashim"
26036,"al-Laith bin 'Asim","","211 AH",Egypt,"Abu Zrarh"
26037,"al-Laith bin 'Asim","","182 AH",Egypt,"Abu al-Hasan"
26038,"al-Mady bin Muhammad bin Mas'ud","","183 AH",Egypt,"Abu Mas'ud"
26039,"Mua'wiya bin Sa'id bin Shryh","","",Egypt,""
26040,"Ma'rwf bin Suwayd al-Jdhamy","","150 AH",Egypt,"Abu Salmah"
26042,"Musa bin Salmah bin Aby","","163 AH",Egypt,""
26043,"Musa bin Shayba al-Hdrmy","","",Egypt,""
26046,"al-Walid bin al-Mughira bin Sulaiman","","172 AH",Egypt,"Abu al-'Abbas"
26048,"Yusuf bin 'Amr bin Yazid","","205 AH",Egypt,"Abu Yazid"
26049,"Abu Yazid al-Khwlany al-Msry","","",Egypt,"Abu Yazid"
26500,"Ibrahim bin Sulaiman, al-Mu'adab","","","Jordon,Baghdad,Syria","Abu Isma'il"
26502,"Ishaq bin Njyh al-Mlty","","",Baghdad,"Abu Yazid"
26505,"al-Harith bin al-Nu'man bin Salm","","","al-Taus,Baghdad","Abu al-Nadr"
26510,"Da'ud bin Mnswr al-Nsa'iy","","123 AH","Nisa',Baghdad,al-Musaysa","Abu Sulaiman"
26511,"Zafr bin Suliaman al-Aayady Aw","","","al-Ray,Baghdad","Abu Sulaiman"
26513,"Abd al-Rhym bin Han'i/Haroon","","after  200 AH","al-Wasit,Baghdad","Abu Hisham"
26520,"Muhammad bin Mysr","","","Bulkh,Baghdad","Abu Sa'd"
26521,"Mukhalad bin al-Hasan bin Abi Zamil","","",Baghdad,""
26523,"Mzfr Btshdyd al-Fa'a","","207 AH","Khurasan,Baghdad","Abu Kaml"
26525,"Mnswr bin Sqyr","","",al-Baghdad,"Abu al-Ndr"
26527,"Nasr bin Zayd al-Majdar","","","Sajistan,al-Baghdad","Abu al-Hasan"
26529,"Hisham bin Sa'id al-Talaqani","","","Bazaz,Baghdad","Abu Ahmed"
27000,"Ibrahim bin Tryf al-Shamy","","",Syria,""
27001,"Ibrahim bin Mrh al-Shamy","","",Syria,""
27002,"Azhar bin Rashid al-Hwzny","","",Syria,"Abu al-Walid"
27003,"Ayoub bin Bashyr al-Jly","","",Syria,""
27004,"Ayoub from al-Qasim","","",Syria,""
27005,"Bab Bmwhdtyn bin","","",Syria,""
27006,"al-Bkhtry bin 'Ubaid","","",Syria,""
27007,"Tmym bin Atyh al-Nsy","","",Syria,""
27008,"Thabit bin Sa'd bin Thabit","","",Syria,""
27009,"Hafs bin 'Umar al-Bazar","","",Syria,""
27010,"Hafs bin Ghylan","","",Syria,"Abu Ma'yd"
27012,"Salmah bin Khultum al-Kndy","","",Syria,""
27014,"Snan bin Qays Shamy","","",Syria,""
27015,"Sahl bin Hashim bin Bilal","","","Abyssinia,Wasit,al-Syria","Abu Zakaria"
27016,"Shbyb bin Shayba Shamy","","",Syria,""
27017,"Suh'aib bin Rzyq","","",Syria,"Abu Shayba"
27018,"Shayba bin al-Ahnf al-Awza'y","","",Syria,"Abu al-Ndr"
27019,"'Abdullah bin Raja' bin Sabih","","",Syria,""
27021,"'Abdul Malik bin Mysrh","","",Syria,""
27022,"'Utba bin Tmym al-Tnwkhy","","",Syria,"Abu Sb'a"
27023,"'Uthman bin 'Ubaid","","",Syria,"Abu Dws"
27024,"Asmh bin Rashid al-Amlwky Shamy","","",Syria,""
27025,"'Uqba al-Shami","","",Syria,""
27026,"Aqyl bin Mdrk al-Slmy","","",Syria,"Abu al-Azhar"
27027,"'Ali bin Sulaiman","","",Syria,""
27028,"'Umara bin Bashr al-Shami","","",Syria,""
27029,"'Amr bin Bakr bin Tmym","","",Syria,""
27030,"'Amr bin Jaryh","","",Syria,""
27031,"Frj bin Fdalh bin al-N'man","","177 AH",Syria,"Abu Fdalh"
27033,"Muhammad bin 'Uqba al-Qady","","",Syria,""
27034,"Muhammad bin Kathir bin Marwan","","~220 AH","Syria,Baghdad",""
27036,"Muhammad bin Yazid al-Kula'i","","200 AH or before after","al-Wasit,Syria","Abu Ishaq"
27037,"Muhammad bin Yusuf al-Quraishi","","",Medina,""
27038,"al-Mthna bin Yazid al-Thqfy","","",Syria,""
27039,"Mhmwd bin al-Walid","","",Syria,""
27040,"Msafr Shamy Mqbwl","","",Syria,""
27041,"Muslimh bin 'Amr","","",Syria,"Abu 'Amr"
27042,"M'aan bin Rafa'a","","after  150 AH","Syria, Hims","Abu Muhammad"
27043,"Nash Abu 'Abdullah","","",Syria,"Abu 'Abdullah"
27044,"Nmyr bin Yazid al-Qyny","","",Syria,""
27045,"Hilal bin Rdad","","",Syria,""
27046,"Wzyr Bksr al-Zay","","",Syria,""
27047,"al-Walid bin Kaml bin Mua'dh","","",Syria,"Abu 'Ubaid'h"
27049,"Yahya bin Sa'id al-Tar","","before  200 AH",Syria,""
27050,"Yazid bin Hjr al-Shamy","","",Syria,""
27051,"Yazid bin Awf","","",Syria,""
27052,"Abu Ayoub al-Shamy","","",Syria,"Abu Ayoub"
27053,"Abu Bakr bin 'Abdullah bin Abi Maryum","","156 AH",Syria,"Abu Bakr"
27054,"Abu Sa'id al-Shami","","",Syria,"Abu Sa'id"
27055,"Abu Salma al-'Amli al-Shami","","",Syria,"Abu Salma"
27200,"Hisham bin 'Abdullah bin Akrmh","","","",""
27201,"Mhl bin Mhrz al-Dby Wykna","","","",""
27203,"'Amr bin Shamr al-Ja'fi","","","",""
27204,"Salah bin Abi al-'Aswad Wkan","","","",""
27205,"Salmah bin Salah al-Ahmar","","188 AH","Wasit,Baghdad","Abu Ishaq"
27206,"Muhammad bin Aban bin Salah","","","",""
27207,"Bkar bin Muhammad bin Abd","","","",""
27208,"Muhammad bin al-Hjaj al-Msfr Wykna","","","",""
27209,"Ibrahim bin Abi al-Lyth Wykna","","","",""
27210,"Abd al-Mn'm bin Idrys bin Snan","","","",""
27211,"'Abdul 'Aziz bin Bhr al-Mu'db","","","",""
27212,"Slm bin Salm al-Blkhy Wykna","","","",""
27213,"Ghalb bin 'Ubaidullah al-Jzry","","","",""
27300,"Muhammad bin Isma'il bin Ja'far","","","",""
27301,"Muhammad bin Abi al-Hakam","","","",""
27302,"Muhammad bin Hjr bin Abd","","",Kufa,"أبو جعفر"
27303,"Muhammad bin Hameed Abu Abd","","248 AH","","أبو عبد الله"
27304,"Muhammad bin Khalid","","",Yemen,""
27305,"Muhammad bin Khalid al-Dmshqy Sm'","","",Damascus,""
27306,"Muhammad bin Abi al-Shmal al-Tardy","","",al-Basra,""
27307,"Muhammad bin 'Amr","","","",""
27308,"Ibrahim bin 'Umar bin Aban","","",al-Basra,""
27309,"Ibrahim bin Muhammad bin Ibrahim","","","",""
27310,"Isma'il bin Qays bin Sa'd","","",Medina,"أبو مصعب"
27311,"Ishaq bin Ibrahim bin Nstas","","","","أبو يعقوب"
27312,"Ahmed bin al-Harith al-Ghsany Wy'rf","","",al-Basra,"أبو عبد الله"
