id,para_id,surah_id,verse_id,name_id
680,2,2,168,34
681,6,4,160,34
682,14,16,114,34
683,10,8,69,34
684,12,11,108,35
685,15,11,105,35
686,30,88,8,35
687,1,2,35,36
688,1,2,82,36
689,1,2,111,36
690,2,2,214,36
691,2,2,221,36
692,4,3,142,36
693,4,3,185,36
694,5,4,124,36
695,6,5,72,36
696,8,7,19,36
697,8,7,22,36
698,8,7,27,36
699,8,7,40,36
700,8,7,42,36
701,8,7,43,36
702,8,7,44,36
703,8,7,46,36
704,8,7,49,36
705,8,7,50,36
706,11,9,111,36
707,11,10,26,36
708,12,11,23,36
709,12,11,108,36
710,12,11,119,36
711,13,13,35,36
712,14,16,32,36
713,15,18,33,36
714,116,19,60,36
715,16,19,63,36
716,16,20,117,36
717,16,20,121,36
718,19,25,24,36
719,19,26,90,36
720,21,29,58,36
721,21,32,13,36
722,12,36,26,36
723,23,36,55,36
724,23,37,158,36
725,24,39,73,36
726,24,39,74,36
727,24,40,40,36
728,24,41,30,36
729,25,42,7,36
730,25,43,70,36
731,25,43,72,36
732,26,46,14,36
733,26,46,16,36
734,26,47,6,36
735,26,47,15,36
736,26,50,31,36
737,27,55,54,36
738,28,59,20,36
739,28,66,11,36
740,29,68,17,36
741,30,79,41,36
742,30,81,13,36
743,22,33,35,37
744,17,22,34,37
745,17,22,35,37
746,6,5,54,37
747,7,6,42,37
748,4,3,199,37
749,15,17,107,37
750,15,17,108,37
751,15,17,109,37
752,18,23,76,37
753,18,23,77,37
754,17,22,54,37
755,17,21,90,37
756,16,20,134,37
757,28,59,21,37
758,9,7,205,37
759,12,11,23,37
760,16,20,108,37
761,19,25,63,37
762,18,28,1,37
763,18,23,2,37
764,15,17,24,37
765,1,2,45,37
766,8,7,55,37
767,16,20,111,37
768,9,7,119,37
769,22,33,35,37
770,17,22,34,37
772,18,24,31,38
773,2,2,228,38
774,2,2,232,38
775,5,4,128,38
776,2,2,230,38
777,12,11,72,38
778,28,58,1,38
779,5,4,35,38
780,6,5,3,39
781,8,6,125,39
782,2,2,208,39
783,3,3,85,39
784,3,3,19,39
785,19,25,52,40
786,28,60,1,40
787,17,22,78,40
788,10,9,24,40
789,5,4,95,40
790,10,8,74,40
791,10,8,75,40
792,6,5,54,40
793,10,9,16,40
794,10,9,86,40
795,26,49,15,40
796,10,9,88,40
797,10,9,44,40
798,28,61,11,40
799,2,2,218,40
800,4,3,130,40
801,10,9,73,40
802,28,66,9,40
803,4,3,142,40
804,21,29,69,40
805,20,29,6,40
806,8,6,112,41
807,8,6,128,41
808,8,6,130,41
809,8,7,38,41
810,9,7,179,41
811,15,18,50,41
812,19,27,17,41
813,19,27,39,41
814,22,34,12,41
815,24,41,25,41
816,24,41,29,41
817,26,46,18,41
818,26,46,29,41
819,27,55,33,41
820,29,72,1,41
821,29,72,6,41
822,6,4,163,42
823,7,6,84,42
824,17,21,83,42
825,23,38,41,42
826,3,2,282,43
827,5,4,58,43
828,14,16,76,43
829,14,16,90,43
830,26,49,9,43
831,4,4,3,43
832,5,4,129,43
833,5,4,135,43
834,6,5,8,43
835,8,6,152,43
836,8,6,115,43
837,7,6,1,43
838,8,6,150,43
839,9,7,159,43
840,9,7,181,43
841,20,27,60,43
842,1,2,102,44
843,7,5,110,44
844,7,6,7,44
845,9,7,113,44
846,9,7,116,44
847,9,7,120,44
848,9,7,132,44
849,11,10,76,44
850,11,10,77,44
851,11,10,80,44
852,11,10,81,44
853,12,11,7,44
854,16,20,57,44
855,16,20,58,44
856,16,20,63,44
857,16,20,66,44
858,16,20,70,44
859,16,20,71,44
860,16,20,73,44
861,17,21,3,44
862,18,23,89,44
863,19,26,35,44
864,19,26,38,44
865,19,26,40,44
