_id,city,time_zone,country,latitude,longitude,timezone_name
149,"Boise, ID","(GMT-07:00) Mountain Time (US & Canada)","United States",43.616390228271484,-116.19972229003906,"Mountain Standard Time"
150,Bologna,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,44.49444580078125,11.349166870117188,"W. Europe Standard Time"
151,Bonn,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,50.733333587646484,7.083333492279053,"W. Europe Standard Time"
152,Bordeaux,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,44.83333206176758,-0.5833333134651184,"Romance Standard Time"
153,"Boston, MA","(GMT-05:00) Eastern Time (US & Canada)","United States",42.366390228271484,-71.06639099121094,"Eastern Standard Time"
154,Braganca,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,41.807220458984375,-6.7588887214660645,"GMT Standard Time"
155,Brasilia,"(GMT-03:00) Brasilia",Brazil,-15.79194450378418,-47.89777755737305,"E. South America Standard Time"
156,Bratislava,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Slovakia,48.150001525878906,17.116666793823242,"Central Europe Standard Time"
157,Brazzaville,"(GMT+01:00) West Central Africa",Congo,-4.266666889190674,15.283333778381348,"W. Central Africa Standard Time"
158,Bremen,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,53.08333206176758,8.850000381469727,"W. Europe Standard Time"
159,Brest,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,48.400001525878906,-4.4666666984558105,"Romance Standard Time"
160,Bridgetown,"(GMT-04:00) La Paz",Barbados,13.100000381469727,-59.61666488647461,"SA Western Standard Time"
161,Brindisi,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,40.636112213134766,17.938888549804688,"W. Europe Standard Time"
162,Brisbane,"(GMT+10:00) Brisbane",Australia,-27.46666717529297,153.01666259765625,"E. Australia Standard Time"
163,Bristol,"(GMT) Dublin, Edinburgh, Lisbon, London","United Kingdom",51.483333587646484,-2.5333333015441895,"GMT Standard Time"
164,Brno,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague","Czech Republic",49.19388961791992,16.613332748413086,"Central Europe Standard Time"
165,Brussels,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Belgium,50.83329772949219,4.3332977294921875,"Romance Standard Time"
166,Bucharest,"(GMT+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius",Romania,44.43333435058594,26.100000381469727,"FLE Standard Time"
167,Budapest,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Hungary,47.5,19.08333396911621,"Central Europe Standard Time"
168,"Buenos Aires","(GMT-03:00) Argentina",Argentina,-34.58305740356445,-58.66666793823242,"Argentina Standard Time"
169,"Buffalo, NY","(GMT-05:00) Eastern Time (US & Canada)","United States",42.88333511352539,-78.88333129882812,"Eastern Standard Time"
170,Bujumbura,"(GMT+02:00) Harare, Pretoria",Burundi,-3.383333444595337,29.366666793823242,"South Africa Standard Time"
171,Burgos,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,42.34111022949219,-3.695833444595337,"Romance Standard Time"
172,"Buri Ram","(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,14.99638843536377,103.11250305175781,"SE Asia Standard Time"
173,"Burnaby, BC","(GMT-08:00) Pacific Time (US & Canada); Tijuana",Canada,49.2488899230957,-122.97389221191406,"Pacific Standard Time"
174,Bursa,"(GMT+02:00) Turkey",Turkey,40.18361282348633,29.0625,"Turkey Standard Time"
175,Busan,"(GMT+09:00) Seoul","South Korea",35.15777587890625,129.05471801757812,"Korea Standard Time"
176,Butterworth,"(GMT+08:00) Kuala Lumpur, Singapore",Malaysia,5.396944522857666,100.41416931152344,"Singapore Standard Time"
177,"Cabo San Lucas","(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,22.89055633544922,-109.91666412353516,"Mexico Standard Time 2"
178,Cairns,"(GMT+10:00) Brisbane",Australia,-16.92472267150879,145.77333068847656,"E. Australia Standard Time"
179,Cairo,"(GMT+02:00) Cairo",Egypt,30.049999237060547,31.25,"Egypt Standard Time"
180,Calabar,"(GMT+01:00) West Central Africa",Nigeria,4.957221984863281,8.314444541931152,"W. Central Africa Standard Time"
181,"Calgary, AB","(GMT-07:00) Mountain Time (US & Canada)",Canada,51.053611755371094,-114.0625,"Mountain Standard Time"
182,Campinas,"(GMT-03:00) Brasilia",Brazil,-22.906389236450195,-47.061668395996094,"E. South America Standard Time"
183,Canberra,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-35.28333282470703,149.21665954589844,"AUS Eastern Standard Time"
184,Cancun,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,21.147777557373047,-86.83499908447266,"Mexico Standard Time"
185,"Canmore, AB","(GMT-07:00) Mountain Time (US & Canada)",Canada,51.08333206176758,-115.33334350585938,"Mountain Standard Time"
